scenario,shield_mm_Al,dose_rate_mGy_day,calibration_domain_flag,interpretation_class,recommended_user_message
VAB_RBSP_like,0.05,6671666.666666667,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,0.1,3147333.3333333335,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,0.2,1488277.7777777778,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,0.3,895333.3333333334,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,0.4,602888.8888888889,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,0.5,433333.3333333333,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,0.6,325677.7777777778,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,0.8,203722.22222222222,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,1.0,140016.6666666667,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,1.5,68955.55555555555,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,2.0,38695.0,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,2.5,22835.555555555555,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,3.0,13892.77777777778,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,4.0,5481.722222222223,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,5.0,2275.611111111111,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,6.0,1008.5555555555554,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,7.0,505.85,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,8.0,306.61666666666673,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,9.0,226.69444444444446,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,10.0,187.68888888888887,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,12.0,151.68888888888887,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,14.0,131.1277777777778,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,16.0,118.54999999999998,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,18.0,110.11111111111111,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
VAB_RBSP_like,20.0,102.18333333333334,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
